runnum,totcharge_pd(C),daqlvtm_bbhi,daqlvtm_ts1
12334,0.0247986,0.986463,0.986466
12397,0.00404918,0.993132,0.993135
12399,0.026211,0.98895,0.988953
12489,0.00219396,0.993698,0.993736
12490,0.0253593,0.989348,0.989414
12560,0.0496034,0.992019,0.992059
12624,0.0491311,0.991862,0.991906
12690,0.0509698,0.992418,0.990336
12745,0.059632,0.993472,0.991201
12821,0.0600349,0.993312,0.991188
12922,0.102783,0.992157,0.991113
13001,0.0363274,0.993069,0.992105
13026,0.0889326,0.993484,0.992438
13064,0.0448549,0.990605,0.988986
