runnum,totcharge_bob(C),totcharge_pd(C),daqlvtm_bbhi,daqlvtm_ts1
11449,-0.000438616,0.00290568,0.930779,0.930785
11451,-5.51695e-05,0.00217609,0.861596,0.861605
11452,-99.0,0.00898508,0.936185,0.936191
11456,-99.0,0.00757034,0.886523,0.886531
11493,-8.80849e-05,0.00236925,0.976892,0.976899
11494,-7.29468e-05,0.00346013,0.976594,0.976598
11495,-2.93449e-05,0.00342057,0.976329,0.976333
11496,-8.45714e-05,0.00304391,0.976095,0.976099
11551,-9.23444e-05,0.00132071,0.872639,0.872648
11554,-6.7662e-05,0.000869628,0.867828,0.867837
11562,-3.93674e-05,0.00336828,0.865795,0.865803
11563,-7.87472e-05,0.00075669,0.848635,0.848644
11564,-7.84526e-05,0.00192168,0.850195,0.850203
11565,-0.000353761,0.00251332,0.853931,0.85394
11568,-3.90594e-05,0.00269407,0.850224,0.850232
11570,-0.000101488,0.00145423,0.851025,0.851032
11571,-6.58711e-05,0.00206349,0.841798,0.841804
11579,-8.45771e-05,0.00584684,0.897803,0.897811
11580,-6.76575e-05,0.00170179,0.897183,0.89719
11581,-2.62179e-05,0.00411985,0.897953,0.89796
11582,-2.63756e-05,0.00253737,0.899002,0.899009
11583,-5.32443e-05,0.00336685,0.898854,0.898861
11586,-8.45711e-05,0.00483441,0.899036,0.899043
11593,-0.000444603,0.00392495,0.755729,0.755738
11594,-6.58162e-05,0.00108199,0.748213,0.748222
11595,-3.93755e-05,0.00170929,0.746432,0.746439
11996,0.00757565,0.00651399,0.889209,0.890613
11997,0.00405946,0.00342614,0.882823,0.885036
11998,0.0172768,0.0155879,0.889647,0.890296
11999,0.0182564,0.0164604,0.902916,0.903485
12001,0.0143517,0.0129417,0.904671,0.905273
12002,0.0143176,0.0129081,0.914322,0.915108
12004,0.0121402,0.0109482,0.916296,0.917144
12006,0.0140047,0.0126405,0.919109,0.919954
12013,0.0137957,0.0123916,0.984993,0.98609
12014,0.00454582,0.00409855,0.990874,0.99308
12017,0.0304196,0.0273946,0.992092,0.992416
12019,0.0218889,0.0197013,0.988741,0.989357
12021,0.0143308,0.0129128,0.98526,0.98532
12029,0.0321254,0.0289188,0.986363,0.986747
12030,0.0311581,0.0280898,0.985465,0.985838
12038,0.00769285,0.00692662,0.984729,0.986443
12039,0.00305357,0.00149455,0.978197,0.98641
12040,0.000687974,0.000620016,0.968773,0.98541
12041,0.00727738,0.00655155,0.987327,0.98917
12042,0.00758119,0.00682457,0.987879,0.989574
12043,0.0099621,0.00895837,0.988934,0.989952
12044,0.00779701,0.00701956,0.987856,0.98943
12045,0.00606145,0.0054707,0.987203,0.98961
12046,0.00576199,0.00521427,0.99051,0.990583
