runnum,totcharge(C),daqlvtm
11449,0.00290568,0.930785
11451,0.00217609,0.861605
11452,0.00898508,0.936191
11456,0.00757034,0.886531
11493,0.00236925,0.976899
11494,0.00346013,0.976598
11495,0.00342057,0.976333
11496,0.00304391,0.976099
11551,0.00132071,0.872648
11554,0.000869628,0.867837
11562,0.00336828,0.865803
11563,0.00075669,0.848644
11564,0.00192168,0.850203
11565,0.00251332,0.85394
11568,0.00269407,0.850232
11570,0.00145423,0.851032
11571,0.00206349,0.841804
11579,0.00584684,0.897811
11580,0.00170179,0.89719
11581,0.00411985,0.89796
11582,0.00253737,0.899009
11583,0.00336685,0.898861
11586,0.00483441,0.899043
11593,0.00392495,0.755738
11594,0.00108199,0.748222
11595,0.00170929,0.746439
