runnum,totcharge(C)
12314,0.0440307
12315,0.0452146
12316,0.00898726
12318,0.0164236
12319,0.0143198
12321,0.00515549
12322,0.0244069
12323,0.00408657
12333,0.0873899
12337,0.0599664
12338,0.0190712
12339,0.0358327
12341,0.0054298
12342,0.0144721
12343,0.0120503
12344,0.0160235
12346,0.0519779
12347,0.010298
12348,0.0437415
12349,0.00859545
12356,0.0535093
12357,0.00747054
12359,0.0577069
12360,0.0579585
12362,0.0595693
12364,0.103423
12366,0.0137682
12371,0.00282669
12372,0.0228393
12373,0.0331945
12374,0.0295728
12375,0.0294369
12376,0.0292659
12377,0.0296602
12378,0.0292717
12379,0.0327676
12383,0.0312159
12384,0.0303347
12385,0.00469844
12387,0.0316486
12388,0.030321
12394,0.0347764
12395,0.0408374
12396,0.0329264
12403,0.0258613
12404,0.0239907
12405,0.0293785
12406,0.0301303
12407,0.0168077
12408,0.0379414
12409,0.0150185
12410,0.0313716
12411,0.00486168
12412,0.0179854
12416,0.0029208
12423,0.00897945
12424,0.00853978
12425,0.0151059
12473,0.0157721
12474,0.0428121
12478,0.0289925
12479,0.0292818
12480,0.0285203
12481,0.0121433
12482,0.016247
12485,0.0301329
12486,0.027601
12498,0.0162078
12499,0.0265208
12500,0.0068212
12501,0.000351186
12502,0.0180723
12512,0.0307011
12513,0.0309957
12514,0.0292832
12515,0.0167391
12516,0.0260071
12517,7.85587e-05
12521,0.0319314
12523,0.0215826
12527,0.0235809
12532,0.0268895
12534,0.0269938
12535,0.0162786
12536,0.0209012
12537,0.0227891
12538,0.00488789
12539,0.0273828
12541,0.0292565
12542,0.0297071
12543,0.0408449
12544,0.0116271
12547,0.0304574
12549,0.0308769
12550,0.0313421
12551,0.0293901
12552,0.0284438
12553,0.0329768
12554,0.0292018
12556,0.0243386
12558,0.0155902
12559,0.038516
12565,0.0379649
12566,0.0392956
12567,0.0387171
12568,0.0383185
12569,0.0418592
12570,0.0410193
12571,0.0190284
12572,0.0380491
12574,0.0379548
12577,0.00726931
12580,0.0428618
12581,0.0384817
12582,0.037265
12583,0.0373525
12584,0.0377765
12585,0.0383078
12586,0.0386498
12589,0.0418192
12590,0.0241141
12592,0.0151632
12593,0.0347662
12597,0.0382463
12598,0.0333886
12599,0.00465485
12614,0.0381567
12618,0.0126259
12619,0.0265123
12620,0.0246554
12623,0.0135031
12627,0.037402
12628,0.00149413
12638,0.0399465
12639,0.0056843
12641,0.0305879
12642,0.00860135
12643,0.0337887
12644,0.0110741
12645,0.0265823
12647,0.0171511
12653,0.0377997
12654,0.000636616
12655,0.0378376
12656,0.0377384
12659,0.0379157
12660,0.0361953
12661,0.039389
12662,0.0165835
12664,0.0126762
12666,0.00649201
12671,0.0464041
12673,0.0395827
12674,0.0465917
12678,0.010902
12679,0.0377223
12680,0.0380749
12681,0.00362505
12682,0.0411628
12683,0.038366
12684,0.0286128
12686,0.0388875
12687,0.042617
12688,0.0254666
12693,0.0397379
12694,0.037682
12695,0.0380838
12697,0.0356329
12699,0.0303305
12700,0.0236671
12701,0.0380343
12702,0.0375477
12706,0.0446275
12707,0.0467742
12708,0.0452781
12709,0.0444928
12710,0.0453735
12711,0.046035
12713,0.00145678
12714,0.0472139
12715,0.0472666
12721,0.0496942
12722,0.0418324
12726,0.0348747
12728,0.0322573
12729,0.0505914
12732,0.048187
12733,0.0252694
12734,0.0228194
12735,0.0467564
12737,0.00477164
12738,0.0435297
12739,0.000752784
12740,0.0305349
12742,0.0279123
12743,0.0228397
12767,0.034853
12768,0.0175644
12769,0.0321345
12770,0.0658545
12771,0.0658053
12772,0.0703641
12773,0.041975
12778,0.0637096
12779,0.0385107
12781,0.0399121
12782,0.0245601
12796,0.00303239
12797,0.0333821
12798,0.0319386
12799,0.0344482
12801,0.0441466
12802,0.0399898
12813,0.0585459
12814,0.0445872
12815,0.0458632
12816,0.0451735
12817,0.0473818
12819,0.0451731
12820,0.0667768
12824,0.0439079
12825,0.0444574
12826,0.0456494
12827,0.0447899
12828,0.0458212
12829,0.0448648
12830,0.0299331
12894,0.0461564
12896,0.0387931
12897,0.0287766
12902,0.0181434
12903,0.00187624
12904,0.0365614
12906,0.0392034
12907,0.0488007
12908,0.0403735
12909,0.0489636
12911,0.00416045
12912,0.0378917
12913,0.00452048
12914,0.0149766
12915,0.0281131
12916,0.0376072
12917,0.0377691
12918,0.0383568
12919,0.0376852
12920,0.0406573
12921,0.013516
12932,0.0401667
12933,0.036749
12934,0.0195017
12935,0.0407854
12936,0.0377189
12939,0.0446115
12940,0.0397636
12946,0.0149988
12957,0.0359213
12961,0.0388341
12962,0.0193925
12963,0.0140531
12965,0.0505289
12968,0.0395007
12969,0.0430789
12970,0.0420064
12971,0.0441512
12972,0.0353741
12975,0.0192802
12976,0.024976
12977,0.0116019
12979,0.00637626
12980,0.0100216
12982,0.0482115
12983,0.0479247
12984,0.00932266
12986,0.0490543
12987,0.0493038
12988,0.0497797
12989,0.013439
13000,0.0420172
13029,0.0428072
13030,0.045528
13034,0.0435832
13035,0.0336411
13036,0.0163112
13038,0.0627802
13039,0.0497984
13040,0.0528696
13044,0.0436298
13045,0.041113
13048,0.00102802
13049,0.0423277
13050,0.0416158
13051,0.0404009
13052,0.0309938
13053,0.0207277
13054,0.0410317
13055,0.0306249
13058,0.0436778
13059,0.0369446
13060,0.0441717
13061,0.0446735
13062,0.0462391
13063,0.0486673
