runnum,totcharge_bob(C),totcharge_pd(C),daqlvtm_bbhi,daqlvtm_ts1
11436,-0.000101494,0.0109847,0.933325,0.93333
11500,-6.76591e-05,0.00500944,0.859136,0.859142
11547,-8.4589e-05,0.0061341,0.851506,0.851513
11548,-0.000485324,0.00550121,0.853436,0.853443
11573,-99.0,0.0117094,0.882909,0.882917
11587,-99.0,0.00792101,0.88711,0.887117
11588,-5.49245e-05,0.00259923,0.890942,0.890947
11589,-0.000135314,0.00100384,0.716619,0.716626
11590,-0.000193574,0.00735889,0.520428,0.520433
11592,-2.77942e-05,0.00184626,0.730692,0.730698
11989,0.0014282,0.00130755,0.995518,0.997672
11990,0.00219205,0.00198962,0.992761,0.995082
11991,0.00286142,0.00229598,0.984748,0.989036
11992,0.00194859,0.00160917,0.985356,0.990953
11993,0.00159271,0.00113811,0.913972,0.924728
11994,0.0263136,0.0236623,0.894129,0.894274
12000,0.0248402,0.0223243,0.907975,0.908114
12008,0.0281883,0.0253461,0.92472,0.924846
12022,0.0357866,0.0321092,0.989798,0.989857
12035,0.0354745,0.0318323,0.988107,0.988164
12049,0.0378972,0.034047,0.990027,0.99068
12052,-99.0,0.00875864,0.917428,0.919777
12053,0.0373798,0.0335387,0.952917,0.95352
12058,0.0377072,0.0338284,0.953561,0.95383
12064,0.0388489,0.0348756,0.954726,0.954776
12072,0.0365268,0.0327866,0.989969,0.990605
12313,0.0513815,0.0460301,0.482254,0.48226
12320,0.0349476,0.0313638,0.904013,0.90402
12335,0.0268181,0.0240205,0.947127,0.947133
12336,0.0430534,0.0385814,0.944766,0.94477
12340,0.0458546,0.0411478,0.992561,0.992563
12345,0.0696408,0.0624247,0.96398,0.963984
12355,0.0834063,0.0747418,0.964667,0.96467
12358,0.0698002,0.0625424,0.963198,0.963202
12363,0.0738444,0.0661583,0.961993,0.961995
12367,0.0177547,0.0159026,0.96297,0.962976
12368,0.0109144,0.00977882,0.959914,0.959917
12369,0.0591076,0.0529442,0.961397,0.9614
12370,0.0532193,0.0476794,0.961022,0.961026
12380,0.0743116,0.0665846,0.963285,0.963288
12382,0.0731483,0.0655388,0.964779,0.964783
12400,0.0433532,0.0388633,0.979307,0.979312
12401,0.0489262,0.0438347,0.97997,0.979973
12414,0.0304683,0.0272987,0.974787,0.97479
12415,0.0428078,0.0383723,0.974788,0.974791
12427,0.0251202,0.0225132,0.977089,0.977095
12428,0.0249621,0.0223449,0.978394,0.978401
12429,0.014941,0.0133734,0.978301,0.978304
12471,0.0767108,0.0687635,0.981222,0.981309
12472,0.00734239,0.00658696,0.979235,0.97933
12491,0.00601982,0.00539796,0.975967,0.976053
12496,0.0530222,0.047507,0.977042,0.977138
12497,0.083085,0.0744233,0.977238,0.977336
12524,0.0407642,0.0365397,0.935261,0.935353
12525,0.0632397,0.0566498,0.934144,0.934236
12526,0.0434989,0.0389738,0.872987,0.873065
12548,0.0700446,0.0628051,0.990599,0.990651
12561,-99.0,0.0693543,0.991434,0.991477
12563,-99.0,0.0688644,0.991301,0.991349
12575,0.083971,0.075274,0.991683,0.991728
12576,0.0701273,0.0530236,0.991431,0.991479
12587,-99.0,0.0644463,0.991347,0.991394
12588,-99.0,0.0673718,0.991556,0.991602
12625,0.0390168,0.0349493,0.991829,0.991873
12626,0.0323994,0.0291036,0.99177,0.991818
12657,0.0467139,0.0418818,0.991321,0.987484
12658,0.0230569,0.0206506,0.992023,0.988443
12675,0.0324491,0.0290791,0.987599,0.98252
12676,0.037443,0.033554,0.991844,0.988805
12677,0.0332087,0.0297664,0.987845,0.982332
12691,0.0350871,0.0314396,0.974363,0.968967
12692,0.0343188,0.0307525,0.973193,0.970687
12704,0.0597316,0.0534928,0.977978,0.973365
12705,0.0228948,0.0204928,0.979055,0.976706
12716,0.0795148,0.0712513,0.980849,0.976617
12730,0.0570527,0.0511156,0.969802,0.962916
12731,0.0802027,0.0718537,0.983952,0.977643
12747,0.00127715,0.00115951,0.98057,0.976871
12758,0.0505925,0.0453372,0.98402,0.98001
12765,0.0292407,0.0262135,0.977791,0.973555
12776,0.0566236,0.0507478,0.980213,0.97569
12777,0.0309898,0.0277777,0.990051,0.986191
12809,0.040185,0.0360143,0.975932,0.97158
12810,0.0137974,0.0123868,0.969886,0.967657
12812,0.0143376,0.0128231,0.991569,0.986278
12822,0.0389965,0.0349274,0.989934,0.98708
12823,0.039458,0.0353483,0.990073,0.984969
12895,0.073774,0.0661107,0.988033,0.985868
