runnum,totcharge_pd(C),daqlvtm_bbhi,daqlvtm_ts1
13239,0.00855728,0.986133,0.493055
13240,0.00344171,0.998254,0.499126
13241,0.0151985,0.988774,0.494375
13242,0.00632764,0.988128,0.494053
13243,0.00704412,0.987802,0.493891
13244,0.0130988,0.98826,0.494121
13312,0.0410001,0.979721,0.979723
13313,0.0416487,0.979171,0.979175
13320,0.0135617,0.979802,0.979804
13321,0.0719708,0.98096,0.980963
13345,0.023673,0.981874,0.981877
13346,0.0108656,0.98035,0.980353
13348,0.0325123,0.981625,0.981629
13349,0.0383572,0.981031,0.981033
13351,0.0435162,0.965904,0.965908
13352,0.0232246,0.968152,0.968155
13375,0.0611402,0.975884,0.975887
13376,0.0452497,0.984923,0.984925
13377,0.00239158,0.982208,0.982211
13378,0.0595676,0.985402,0.985404
13379,0.0923246,0.985052,0.985054
13396,0.0144361,0.983875,0.983877
13397,0.0730503,0.983719,0.983722
13405,0.0566481,0.984039,0.98404
