runnum,totcharge_bob(C),totcharge_pd(C),daqlvtm_bbhi,daqlvtm_ts1
11611,-0.000892167,0.00734878,0.96418,0.964186
11614,-99.0,0.012885,0.929984,0.929992
11615,-99.0,0.0130438,0.931197,0.931204
11616,-6.76544e-05,0.00739176,0.930148,0.930155
11965,0.00199019,0.00182629,0.737906,0.737978
11966,0.00198918,0.00127613,1.00347,1.00492
11967,0.00399588,0.00361767,-0.00952662,-0.00955167
11968,0.0018425,0.00167999,0.99748,0.999313
11969,0.00585888,0.00190665,-0.0181001,-0.0181132
11972,0.00779231,0.00659487,0.995953,0.998865
11973,0.0250931,0.0175268,0.760679,0.760893
11976,0.0120577,0.00997948,0.677824,0.67902
11979,0.00876485,0.00558187,0.979063,0.979199
11980,0.012745,0.00890625,0.977459,0.977574
11982,0.00482452,0.00304902,0.982382,0.982529
11984,0.00847296,0.00682064,0.975452,0.978372
11985,0.0195182,0.0166847,0.982024,0.983108
12278,0.00971825,0.00873894,0.974055,0.974061
12280,0.024015,0.0215218,0.325857,0.325909
12281,0.00369867,0.00328581,0.796873,0.79688
12282,0.0382587,0.0342814,0.970453,0.970458
12283,0.0650083,0.0582596,0.974687,0.974692
13193,0.00646418,0.00580855,0.978162,0.489171
13194,0.00509528,0.00460135,0.982059,0.495009
13195,0.00617046,0.00553822,0.965317,0.482634
13196,0.00659933,0.0059301,0.932339,0.466136
13435,0.0165997,0.0149223,0.942667,0.942672
13436,0.0169842,0.0152804,0.947617,0.947622
13437,0.00241369,0.00217592,0.96679,0.966795
13439,0.0162636,0.0146365,0.969112,0.969116
13440,0.00365375,0.00330124,0.968067,0.96807
13669,0.00816518,0.00734355,0.98248,0.982484
13671,0.0105483,0.0094594,0.983307,0.98331
13674,0.0506308,0.0453357,0.982942,0.982944
13675,0.0585123,0.0523716,0.982702,0.982704
