runnum,totcharge_pd(C),daqlvtm_bbhi,daqlvtm_ts1
11965,0.00182629,0.737906,0.737978
11966,0.00127613,1.00347,1.00492
11967,0.00361767,-0.00952662,-0.00955167
11968,0.00167999,0.99748,0.999313
11969,0.00190665,-0.0181001,-0.0181132
11972,0.00659487,0.995953,0.998865
11973,0.0175268,0.760679,0.760893
11976,0.00997948,0.677824,0.67902
11979,0.00558187,0.979063,0.979199
11980,0.00890625,0.977459,0.977574
11982,0.00304902,0.982382,0.982529
11984,0.00682064,0.975452,0.978372
11985,0.0166847,0.982024,0.983108
