sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV)
4,11449,LD2,630,750,3.7283629166666663,0.0002272027713095
4,11451,LD2,630,750,3.728159864864865,0.0002138652324543
4,11452,LD2,630,750,3.72825126984127,0.0001278185221443
4,11456,LD2,630,750,3.72822906862745,0.0001748147934696
4,11493,LD2,630,750,3.728025851851852,0.0003450467958419
4,11494,LD2,630,750,3.7278913440860215,0.0001021753653735
4,11495,LD2,630,750,3.727974919786096,0.0001067625693739
4,11496,LD2,630,750,3.727897901234568,8.765709658867726e-05
4,11551,LD2,630,750,3.728024393939394,0.000186754703682
4,11554,LD2,630,750,3.727992280701754,0.0001984135070993
4,11562,LD2,630,750,3.728139,0.0001340788680484
4,11563,LD2,630,750,3.728166,4.39696865274568e-05
4,11564,LD2,630,750,3.728156129032258,3.545280116610807e-05
4,11565,LD2,630,750,3.728124880952381,0.0001224203114063
4,11568,LD2,630,750,3.728152528735632,4.894748944322865e-05
4,11570,LD2,630,750,3.728114528301887,0.0001264693036294
4,11571,LD2,630,750,3.728131285714286,8.965184558142804e-05
4,11579,LD2,0,750,3.72813815920398,9.701079593205606e-05
4,11580,LD2,0,750,3.728143103448276,9.841207486448417e-05
4,11581,LD2,0,750,3.728143661971831,9.62670552136056e-05
4,11582,LD2,0,750,3.7281194318181816,0.0001022545612567
4,11583,LD2,0,750,3.728006467391304,0.0001741113864373
4,11586,LD2,0,750,3.728093736263736,0.0001295137386995
4,11593,LD2,1050,750,3.728145680473373,0.0002048278421359
4,11594,LD2,1050,750,3.72814909090909,0.0001884430477387
4,11595,LD2,1050,750,3.728249464285714,7.23230038307516e-05
7,11996,LD2,1785,750,7.907090735294118,0.0005570010732443
7,11997,LD2,1785,750,7.907332359550561,0.0002543709820854
7,11998,LD2,1785,750,7.907147313432836,0.0008144481237429
7,11999,LD2,1785,750,7.907253054187192,0.0007930293665784
7,12001,LD2,1785,750,7.906942499999999,0.0008580568950949
7,12002,LD2,1785,750,7.907360197044335,0.0009833202799
7,12004,LD2,1785,750,7.90719612745098,0.0005321239192607
7,12006,LD2,1785,750,7.9072825,0.00101222435888
7,12013,LD2,1785,750,7.907414313725489,0.0003944466968529
7,12014,LD2,1785,750,7.907271021505377,0.0006125476524827
7,12017,LD2,1785,750,7.907457192118226,0.0004862357916546
7,12019,LD2,1785,750,7.907408226600985,0.0005096512182259
7,12021,LD2,1785,750,7.907014285714286,0.0005691689765823
7,12029,LD2,1785,750,7.907115270935961,0.000756833097269
7,12030,LD2,1785,750,7.907070788177339,0.0006454312929495
7,12038,LD2,1785,750,7.907000443349754,0.0003959401651121
7,12039,LD2,1785,750,7.906979487179488,0.0001206549826205
7,12040,LD2,1785,750,7.907028695652174,0.0003137356204286
7,12041,LD2,1785,750,7.90697774509804,0.0004131613238587
7,12042,LD2,1785,750,7.906961724137931,0.0003529374369694
7,12043,LD2,1785,750,7.907093846153846,0.0002192929317612
7,12044,LD2,1785,750,7.906896649484536,0.0003469386632939
7,12045,LD2,1785,750,7.906871724137932,0.0004018884663248
7,12046,LD2,1785,750,7.906661083743843,0.0004363221716879
7,12047,LD2,1785,750,7.907158669950738,0.0003794624969187
7,12048,LD2,1785,750,7.907060859375,0.0004116607948175
7,12050,LD2,1785,750,7.906815440414508,0.0004136687203946
7,12051,LD2,1785,750,7.906947339901478,0.0002518109021264
7,12055,LD2,1785,750,7.906540931372549,0.0002374798206529
7,12056,LD2,1785,750,7.907089753694581,0.0005097654658002
7,12057,LD2,1785,750,7.907092561576355,0.0005218155092032
7,12059,LD2,1785,750,7.907137684729064,0.0004436170624906
7,12060,LD2,1785,750,7.90693,0.0005709312568076
7,12062,LD2,1785,750,7.90735775,0.0003617829070854
7,12063,LD2,1785,750,7.9072560591133,0.0004978043240106
7,12065,LD2,1785,750,7.907214558823529,0.0005561136268619
7,12066,LD2,1785,750,7.907011773399015,0.0006293638213983
7,12068,LD2,1785,750,7.90754456,0.0002097444835679
7,12069,LD2,1785,750,7.9074218248175185,0.0005999279601089
7,12070,LD2,1785,750,7.907352032520325,0.0004875044503364
7,12071,LD2,1785,750,7.907310098522168,0.0005182978521198
7,12073,LD2,1785,750,7.907314679802956,0.0005225890145749
11,12314,LD2,2100,750,9.859126883289123,0.0003152620186618
11,12315,LD2,2100,750,9.859130158150853,0.0003921558507214
11,12316,LD2,2100,750,9.859312413793104,0.0003153839720224
11,12318,LD2,2100,750,9.85964045681656,0.0001075290912049
11,12319,LD2,2100,750,9.859699618644068,0.0004403077534841
11,12321,LD2,2100,750,9.859491827956989,0.0003480034552444
11,12322,LD2,2100,750,9.859557733990147,0.0003459784772986
11,12323,LD2,2100,750,9.859753373493977,0.0003358690115916
11,12333,LD2,2100,750,9.859307862928349,0.0002246393200038
11,12337,LD2,2100,750,9.859393251649388,0.0003061533741437
11,12338,LD2,2100,750,9.859524512820512,0.0001812982135926
11,12339,LD2,2100,750,9.859550579915137,0.00027832171613
11,12341,LD2,2100,750,9.859573204225352,0.0005428077253481
11,12342,LD2,2100,750,9.859547104247104,0.0001768817391746
11,12343,LD2,2100,750,9.85964215932914,0.0002731356816882
11,12344,LD2,2100,750,9.859681295081968,0.000189300314334
11,12346,LD2,2100,750,9.859763505572442,0.0002124403524916
11,12347,LD2,2100,750,9.859690673813173,0.0001499381443131
11,12348,LD2,2100,750,9.859640265588911,0.0002386751460348
11,12349,LD2,2100,750,9.859635341614906,0.0001531503797571
11,12356,LD2,2100,750,9.85935988392857,0.00029055259193
11,12357,LD2,2100,750,9.85963817679558,0.0001920691186719
11,12359,LD2,2100,750,9.859657645348838,0.0002112279423864
11,12360,LD2,2100,750,9.859614863436123,0.0002731024864518
11,12362,LD2,2100,750,9.859553164556962,0.0002420381379647
11,12364,LD2,2100,750,9.85948866007688,0.0001844980279058
11,12366,LD2,2100,750,9.85956940520446,0.0002645434311935
11,12371,LD2,2100,750,9.859638832116788,4.5585499717186e-05
11,12372,LD2,2100,750,9.859499387755102,0.0002207152582417
11,12373,LD2,2100,750,9.859508020654046,0.0001877398408665
11,12374,LD2,2100,750,9.859515480225989,0.0001422391856313
11,12375,LD2,2100,750,9.859517100591717,0.000140201984936
11,12376,LD2,2100,750,9.859561810865191,0.0001675256974834
11,12377,LD2,2100,750,9.859614669187147,0.0001398901565002
11,12378,LD2,2100,750,9.859654444444445,0.0001336138558451
11,12379,LD2,2100,750,9.859598902627512,0.0001593520202416
11,12383,LD2,2100,750,9.859378189102564,0.0001995357922821
11,12384,LD2,2100,750,9.85925428037383,0.0001986013733919
11,12385,LD2,2100,750,9.85927625,0.0001774601042696
11,12387,LD2,2100,750,9.859546954474096,0.0002121360800942
11,12388,LD2,2100,750,9.859592584493042,0.0001969682571914
11,12394,LD2,2100,750,9.859572937788018,0.0002127770156957
11,12395,LD2,2100,750,9.85946630404463,0.0002038981346831
11,12396,LD2,2100,750,9.859501093247587,0.0001384085796833
11,12403,LD2,2100,750,9.859103256784968,0.0002808084541089
11,12404,LD2,2100,750,9.859181453362256,0.0002525544549437
11,12405,LD2,2100,750,9.859223704414587,0.0002376889955699
11,12406,LD2,2100,750,9.85928184407796,0.0002909573918653
11,12407,LD2,2100,750,9.859066677316294,0.0002630963580478
11,12408,LD2,2100,750,9.859066753445637,0.0002802450650409
11,12409,LD2,2100,750,9.859094927536232,0.0003042373388759
11,12410,LD2,2100,750,9.859525233968805,0.0001216209489887
11,12411,LD2,2100,750,9.85964968,6.0465875403751256e-05
11,12412,LD2,2100,750,9.859523091922004,0.0001682830480579
11,12416,LD2,2100,750,9.85946,9.23534875717998e-05
11,12423,LD2,2100,750,9.859331909090908,0.0002596448915722
11,12424,LD2,2100,750,9.859180204778156,0.0002102443760201
11,12425,LD2,2100,750,9.859197419928826,0.0002267115881481
11,12473,LD2,2100,750,9.859374963369962,0.0003363551237863
11,12474,LD2,2100,750,9.859349703196347,0.0002066691568145
11,12478,LD2,2100,750,9.859390524534687,0.0002160498114038
11,12479,LD2,2100,750,9.859267015706806,0.0002291096969788
11,12480,LD2,2100,750,9.859152747474749,0.0001976914509689
11,12481,LD2,2100,750,9.859394620938629,0.0002590484622455
11,12482,LD2,2100,750,9.859547142857142,0.000159719993083
11,12485,LD2,2100,750,9.859356820702404,0.000369119903251
11,12486,LD2,2100,750,9.859362622641507,0.0003906517614574
11,12498,LD2,2100,750,9.859570562913907,0.0002922544078128
11,12499,LD2,2100,750,9.85947590389016,0.0001448090166121
11,12500,LD2,2100,750,9.85941598130841,0.0001186389783947
11,12501,LD2,2100,750,9.85948,0.0002840334487341
11,12502,LD2,2100,750,9.859399853479854,0.0001438774261204
11,12512,LD2,2100,750,9.85945432330827,0.0001563643940031
11,12513,LD2,2100,750,9.859456765799257,0.0001548434211891
11,12514,LD2,2100,750,9.859459593345656,0.0001604883204244
11,12515,LD2,2100,750,9.859458904109587,0.00018671375187
11,12516,LD2,2100,750,9.859535235404897,0.0001615610497054
11,12517,LD2,2100,750,9.8594,
11,12521,LD2,2100,750,9.859485956454122,0.0002135798083841
11,12523,LD2,2100,750,9.859390261780105,0.0003157591935305
11,12527,LD2,2100,750,9.859535482456142,0.0001741900809658
11,12532,LD2,2100,750,9.859484481981982,0.0001937253929954
11,12534,LD2,2100,750,9.859419112554113,0.0001752168544668
11,12535,LD2,2100,750,9.859515337837838,0.0001703631052777
11,12536,LD2,2100,750,9.859516143958867,0.0001776668370738
11,12537,LD2,2100,750,9.85950585253456,0.0001585189431592
11,12538,LD2,2100,750,9.859575742574258,0.0001416145934192
11,12539,LD2,2100,750,9.85944261160714,0.0001433214532797
11,12541,LD2,2100,750,9.85943127016129,0.0002340676747444
11,12542,LD2,2100,750,9.859549139167862,0.0001767957272336
11,12543,LD2,2100,750,9.859548451327433,0.0001573613379636
11,12544,LD2,2100,750,9.859607335423195,8.692574561553104e-05
11,12547,LD2,2100,750,9.859543038674031,0.0001397275035715
11,12549,LD2,2100,750,9.859387865612648,0.0002136495458429
11,12550,LD2,2100,750,9.85936041818182,0.0002383878909558
11,12551,LD2,2100,750,9.859275861386138,0.0002375254802423
11,12552,LD2,2100,750,9.859243173277662,0.0001911273350314
11,12553,LD2,2100,750,9.85929409252669,0.0002116693145734
11,12554,LD2,2100,750,9.859342946428573,0.000212578674872
11,12556,LD2,2100,750,9.85889251948052,0.000171087636716
11,12558,LD2,2100,750,9.859040447761194,0.0002382657870436
11,12559,LD2,2100,750,9.859083712121212,0.0002151091874123
11,12565,LD2,2100,750,9.859123713163063,0.0001934909412206
11,12566,LD2,2100,750,9.85904588579795,0.000392912538106
11,12567,LD2,2100,750,9.858758451957296,0.0003454345817558
11,12568,LD2,2100,750,9.858746555944055,0.0004003586728394
11,12569,LD2,2100,750,9.85896615658363,0.0002374173961634
11,12570,LD2,2100,750,9.858896323529413,0.0002494149583948
11,12571,LD2,2100,750,9.859119163636365,0.000286856277986
11,12572,LD2,2100,750,9.859271821366026,0.0002138416604719
11,12574,LD2,2100,750,9.85921670289855,0.0003048477031183
11,12577,LD2,2100,750,9.859086962962964,0.0004110512080424
11,12580,LD2,2100,750,9.859161638513514,0.0002134032932108
11,12581,LD2,2100,750,9.859334824797845,0.000282914576369
11,12582,LD2,2100,750,9.85930796195652,0.0003053396523756
11,12583,LD2,2100,750,9.8589968,0.0002797280031102
11,12584,LD2,2100,750,9.859169351669944,0.0002158707237955
11,12585,LD2,2100,750,9.85912530075188,0.000253443523017
11,12586,LD2,2100,750,9.858973546617914,0.000289829808468
11,12589,LD2,2100,750,9.859084571948998,0.0002654668948792
11,12590,LD2,2100,750,9.85935523923445,0.0003133643005117
11,12592,LD2,2100,750,9.859421366906474,0.000223802715595
11,12593,LD2,2100,750,9.859386341853035,0.000298737404002
11,12597,LD2,2100,750,9.859294338919923,0.0003783511712641
11,12598,LD2,2100,750,9.858891681818182,0.0002867584740642
11,12599,LD2,2100,750,9.859406857142858,0.0004114435185624
11,12614,LD2,2100,750,9.859260798668886,0.000286706053416
11,12618,LD2,2100,750,9.859334,0.0003597061380451
11,12619,LD2,2100,750,9.85933268115942,0.000337121858516
11,12620,LD2,2100,750,9.859420620437955,0.0002719036723555
