sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),totcharge_bob(C),totcharge_pd(C),daqlvtm_bbhi,daqlvtm_ts1
4,11449,LD2,630,750,3.739548005416666,0.0002278843796234,-0.000438616,0.00290568,0.930779,0.930785
4,11451,LD2,630,750,3.739344344459459,0.0002145068281516,-5.51695e-05,0.00217609,0.861596,0.861605
4,11452,LD2,630,750,3.739436023650793,0.0001282019777107,-99.0,0.00898508,0.936185,0.936191
4,11456,LD2,630,750,3.739413755833332,0.00017533923785,-99.0,0.00757034,0.886523,0.886531
4,11493,LD2,630,750,3.739209929407407,0.0003460819362294,-8.80849e-05,0.00236925,0.976892,0.976899
4,11494,LD2,630,750,3.739075018118279,0.0001024818914696,-7.29468e-05,0.00346013,0.976594,0.976598
4,11495,LD2,630,750,3.7391588445454538,0.000107082857082,-2.93449e-05,0.00342057,0.976329,0.976333
4,11496,LD2,630,750,3.739081594938271,8.792006787844329e-05,-8.45714e-05,0.00304391,0.976095,0.976099
4,11551,LD2,630,750,3.739208467121212,0.000187314967793,-9.23444e-05,0.00132071,0.872639,0.872648
4,11554,LD2,630,750,3.7391762575438574,0.0001990087476205,-6.7662e-05,0.000869628,0.867828,0.867837
4,11562,LD2,630,750,3.739323417,0.0001344811046525,-3.93674e-05,0.00336828,0.865795,0.865803
4,11563,LD2,630,750,3.739350498,4.410159558703917e-05,-7.87472e-05,0.00075669,0.848635,0.848644
4,11564,LD2,630,750,3.7393405974193534,3.555915956960639e-05,-7.84526e-05,0.00192168,0.850195,0.850203
4,11565,LD2,630,750,3.739309255595238,0.0001227875723405,-0.000353761,0.00251332,0.853931,0.85394
4,11568,LD2,630,750,3.739336986321838,4.909433191155833e-05,-3.90594e-05,0.00269407,0.850224,0.850232
4,11570,LD2,630,750,3.739298871886792,0.0001268487115402,-0.000101488,0.00145423,0.851025,0.851032
4,11571,LD2,630,750,3.739315679571429,8.992080111817231e-05,-6.58711e-05,0.00206349,0.841798,0.841804
4,11579,LD2,0,750,3.739322573681592,9.73018283198522e-05,-8.45771e-05,0.00584684,0.897803,0.897811
4,11580,LD2,0,750,3.73932753275862,9.87073110890776e-05,-6.76575e-05,0.00170179,0.897183,0.89719
4,11581,LD2,0,750,3.739328092957746,9.65558563792464e-05,-2.62179e-05,0.00411985,0.897953,0.89796
4,11582,LD2,0,750,3.739303790113636,0.0001025613249404,-2.63756e-05,0.00253737,0.899002,0.899009
4,11583,LD2,0,750,3.7391904867934778,0.0001746337205966,-5.32443e-05,0.00336685,0.898854,0.898861
4,11586,LD2,0,750,3.739278017472527,0.0001299022799155,-8.45711e-05,0.00483441,0.899036,0.899043
4,11593,LD2,1050,750,3.739330117514792,0.0002054423256623,-0.000444603,0.00392495,0.755729,0.755738
4,11594,LD2,1050,750,3.739333538181817,0.0001890083768819,-6.58162e-05,0.00108199,0.748213,0.748222
4,11595,LD2,1050,750,3.7394342126785705,7.253997284224385e-05,-3.93755e-05,0.00170929,0.746432,0.746439
4,11597,LD2,1050,750,3.7394342126785705,7.253997284224385e-05,-1.0,-1.0,-1.0,-1.0
7,11996,LD2,1785,750,7.9308120075,0.000558672076464,0.00757565,0.00651399,0.889209,0.890613
7,11997,LD2,1785,750,7.931054356629212,0.0002551340950316,0.00405946,0.00342614,0.882823,0.885036
7,11998,LD2,1785,750,7.930868755373134,0.0008168914681141,0.0172768,0.0155879,0.889647,0.890296
7,11999,LD2,1785,750,7.930974813349753,0.0007954084546781,0.0182564,0.0164604,0.902916,0.903485
7,12001,LD2,1785,750,7.930663327499998,0.0008606310657801,0.0143517,0.0129417,0.904671,0.905273
7,12002,LD2,1785,750,7.9310822776354675,0.0009862702407397,0.0143176,0.0129081,0.914322,0.915108
7,12004,LD2,1785,750,7.930917715833332,0.0005337202910184,0.0121402,0.0109482,0.916296,0.917144
7,12006,LD2,1785,750,7.931004347499999,0.0010152610319566,0.0140047,0.0126405,0.919109,0.919954
7,12013,LD2,1785,750,7.931136556666665,0.0003956300369434,0.0137957,0.0123916,0.984993,0.98609
7,12014,LD2,1785,750,7.930992834569892,0.0006143852954401,0.00454582,0.00409855,0.990874,0.99308
7,12017,LD2,1785,750,7.93117956369458,0.0004876944990295,0.0304196,0.0273946,0.992092,0.992416
7,12019,LD2,1785,750,7.931130451280787,0.0005111801718805,0.0218889,0.0197013,0.988741,0.989357
7,12021,LD2,1785,750,7.930735328571428,0.000570876483512,0.0143308,0.0129128,0.98526,0.98532
7,12029,LD2,1785,750,7.930836616748768,0.0007591035965608,0.0321254,0.0289188,0.986363,0.986747
7,12030,LD2,1785,750,7.930792000541871,0.0006473675868283,0.0311581,0.0280898,0.985465,0.985838
7,12038,LD2,1785,750,7.930721444679802,0.0003971279856074,0.00769285,0.00692662,0.984729,0.986443
7,12039,LD2,1785,750,7.930700425641025,0.0001210169475683,0.00305357,0.00149455,0.978197,0.98641
7,12040,LD2,1785,750,7.930749781739129,0.0003146768272898,0.000687974,0.000620016,0.968773,0.98541
7,12041,LD2,1785,750,7.930698678333333,0.0004144008078302,0.00727738,0.00655155,0.987327,0.98917
7,12042,LD2,1785,750,7.930682609310343,0.0003539962492803,0.00758119,0.00682457,0.987879,0.989574
7,12043,LD2,1785,750,7.930815127692307,0.0002199508105564,0.0099621,0.00895837,0.988934,0.989952
7,12044,LD2,1785,750,7.930617339432989,0.0003479794792837,0.00779701,0.00701956,0.987856,0.98943
7,12045,LD2,1785,750,7.930592339310344,0.0004030941317237,0.00606145,0.0054707,0.987203,0.98961
7,12046,LD2,1785,750,7.930381066995073,0.0004376311382029,0.00576199,0.00521427,0.99051,0.990583
7,12047,LD2,1785,750,7.930880145960589,0.0003806008844094,0.00777126,0.00699298,0.988883,0.990369
7,12048,LD2,1785,750,7.930782041953124,0.0004128957772019,0.00428328,0.00384835,0.988594,0.991586
7,12050,LD2,1785,750,7.930535886735751,0.0004149097265557,0.0371329,0.0335022,0.990088,0.990335
7,12051,LD2,1785,750,7.930668181921182,0.0002525663348327,0.0269409,0.0242493,0.988399,0.98892
7,12055,LD2,1785,750,7.930260554166666,0.0002381922601148,0.0238289,0.0214874,0.953623,0.953829
7,12056,LD2,1785,750,7.930811022955663,0.0005112947621976,0.0207767,0.0186954,0.954322,0.954928
7,12057,LD2,1785,750,7.930813839261083,0.0005233809557308,0.023943,0.0215622,0.954996,0.955501
7,12059,LD2,1785,750,7.930859097783251,0.000444947913678,0.0179024,0.0161023,0.955895,0.955954
7,12060,LD2,1785,750,7.930650789999999,0.000572644050578,0.00960883,0.00869104,0.955877,0.956325
7,12062,LD2,1785,750,7.931079823249999,0.0003628682558066,0.0219752,0.0197624,0.954832,0.95546
7,12063,LD2,1785,750,7.930977827290639,0.0004992977369826,0.0184867,0.0166414,0.955626,0.955688
7,12065,LD2,1785,750,7.930936202499999,0.0005577819677424,0.0226564,0.0203831,0.954915,0.954974
7,12066,LD2,1785,750,7.930732808719211,0.0006312519128624,-99.0,0.00416998,0.919763,0.919859
