sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV)
4,11436,LH2,630,750,3.7392942652903223,0.00015880843432717527
4,11500,LH2,630,750,3.739391359347825,0.00013748510640475148
4,11547,LH2,630,750,3.7391560947524747,0.00017155677530300968
4,11548,LH2,630,750,3.7390099008333326,7.359370915608227e-05
4,11573,LH2,0,750,3.7392996661576348,0.0001267577550225953
4,11587,LH2,0,750,3.739164185833333,0.00017401097386788238
4,11588,LH2,0,750,3.7391686206666654,0.00016226038869270658
4,11589,LH2,1050,750,3.7391744060869563,0.00011401833679253369
4,11590,LH2,1050,750,3.7392882141463404,0.00019276685457527229
4,11592,LH2,1050,750,3.739212418333333,0.00022404308105059226
4,11616,LH2,630,750,3.739340341748252,0.00015493812997045868
7,11989,LH2,1785,750,7.9311127523870955,0.00033315242935390846
7,11990,LH2,1785,750,7.931061681148648,0.0004095255373436119
7,11991,LH2,1785,750,7.931196057272727,0.0004369428891640611
7,11992,LH2,1785,750,7.931247083333332,0.00010596378099451929
7,11993,LH2,1785,750,7.930822240312499,0.0007507941738674477
7,11994,LH2,1785,750,7.931120537885713,0.0005823370978836433
7,12000,LH2,1785,750,7.930676383793103,0.0008912611687806983
7,12008,LH2,1785,750,7.930810380640393,0.0007903298227873368
7,12022,LH2,1785,750,7.930880580758621,0.0006154934074404706
7,12035,LH2,1785,750,7.930627716059113,0.00047772788678414406
7,12049,LH2,1785,750,7.9305367725,0.00045620896970077475
7,12052,LH2,1785,750,7.93053102,0.00024906005190184627
7,12053,LH2,1785,750,7.93045976409091,0.00021272792290026916
7,12058,LH2,1785,750,7.931131828799998,0.00035634814805696045
7,12064,LH2,1785,750,7.931045122167487,0.00047558554686206696
7,12072,LH2,1785,750,7.930993985180722,0.000561608020948419
11,12313,LH2,2100,750,9.888723979799106,0.00026700461245330963
11,12320,LH2,2100,750,9.889196577186379,0.0003793669296975958
