sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),totcharge_bob(C),totcharge_pd(C),daqlvtm_bbhi,daqlvtm_ts1
4,11436,LH2,630,750,3.7392942652903214,0.0001588084343271,-0.000101494,0.0109847,0.933325,0.93333
4,11500,LH2,630,750,3.739391359347825,0.0001374851064047,-6.76591e-05,0.00500944,0.859136,0.859142
4,11547,LH2,630,750,3.739156094752474,0.000171556775303,-8.4589e-05,0.0061341,0.851506,0.851513
4,11548,LH2,630,750,3.7390099008333326,7.359370915608227e-05,-0.000485324,0.00550121,0.853436,0.853443
4,11573,LH2,0,750,3.7392996661576334,0.0001267577550225,-99.0,0.0117094,0.882909,0.882917
4,11587,LH2,0,750,3.739164185833333,0.0001740109738678,-99.0,0.00792101,0.88711,0.887117
4,11588,LH2,0,750,3.7391686206666654,0.0001622603886927,-5.49245e-05,0.00259923,0.890942,0.890947
4,11589,LH2,1050,750,3.739174406086956,0.0001140183367925,-0.000135314,0.00100384,0.716619,0.716626
4,11590,LH2,1050,750,3.739288214146341,0.0001927668545752,-0.000193574,0.00735889,0.520428,0.520433
4,11592,LH2,1050,750,3.739212418333333,0.0002240430810505,-2.77942e-05,0.00184626,0.730692,0.730698
7,11989,LH2,1785,750,7.931112752387095,0.0003331524293539,0.0014282,0.00130755,0.995518,0.997672
7,11990,LH2,1785,750,7.931061681148648,0.0004095255373436,0.00219205,0.00198962,0.992761,0.995082
7,11991,LH2,1785,750,7.931196057272727,0.000436942889164,0.00286142,0.00229598,0.984748,0.989036
7,11992,LH2,1785,750,7.931247083333332,0.0001059637809945,0.00194859,0.00160917,0.985356,0.990953
7,11993,LH2,1785,750,7.930822240312499,0.0007507941738674,0.00159271,0.00113811,0.913972,0.924728
7,11994,LH2,1785,750,7.931120537885713,0.0005823370978836,0.0263136,0.0236623,0.894129,0.894274
7,12000,LH2,1785,750,7.930676383793103,0.0008912611687806,0.0248402,0.0223243,0.907975,0.908114
7,12008,LH2,1785,750,7.930810380640393,0.0007903298227873,0.0281883,0.0253461,0.92472,0.924846
7,12022,LH2,1785,750,7.930880580758621,0.0006154934074404,0.0357866,0.0321092,0.989798,0.989857
7,12035,LH2,1785,750,7.930627716059113,0.0004777278867841,0.0354745,0.0318323,0.988107,0.988164
7,12049,LH2,1785,750,7.9305367725,0.0004562089697007,0.0378972,0.034047,0.990027,0.99068
7,12052,LH2,1785,750,7.93053102,0.0002490600519018,-99.0,0.00875864,0.917428,0.919777
7,12053,LH2,1785,750,7.93045976409091,0.0002127279229002,0.0373798,0.0335387,0.952917,0.95352
7,12058,LH2,1785,750,7.931131828799998,0.0003563481480569,0.0377072,0.0338284,0.953561,0.95383
7,12064,LH2,1785,750,7.931045122167487,0.000475585546862,0.0388489,0.0348756,0.954726,0.954776
7,12072,LH2,1785,750,7.930993985180722,0.0005616080209484,0.0365268,0.0327866,0.989969,0.990605
11,12313,LH2,2100,750,9.888723979799106,0.0002670046124533,0.0513815,0.0460301,0.482254,0.48226
11,12320,LH2,2100,750,9.88919657718638,0.0003793669296975,0.0349476,0.0313638,0.904013,0.90402
11,12335,LH2,2100,750,9.888826473454545,0.0002871710535884,0.0268181,0.0240205,0.947127,0.947133
11,12336,LH2,2100,750,9.888969729067355,0.0003369789514369,0.0430534,0.0385814,0.944766,0.94477
11,12340,LH2,2100,750,9.8890919402,0.0001243007202408,0.0458546,0.0411478,0.992561,0.992563
11,12345,LH2,2100,750,9.889292961685392,0.0002403741591383,0.0696408,0.0624247,0.96398,0.963984
11,12355,LH2,2100,750,9.888831165329742,0.0002350296954724,0.0834063,0.0747418,0.964667,0.96467
11,12358,LH2,2100,750,9.889240757087087,0.0002598615551196,0.0698002,0.0625424,0.963198,0.963202
