runnum,evnum,HALLA_p
11996,61267,7907.35
11996,90095,7907.29
11996,119003,7907.29
11996,147821,7907.2
11996,177110,7907.2
11996,206425,7907.2
11996,235498,7907.1
11996,264696,7907.1
11996,293230,7907.22
11996,322392,7907.22
11996,351578,7907.15
11996,381160,7907.15
11996,411070,7907.15
11996,440554,7907.36
11996,469743,7907.36
11996,498797,7907.3
11996,528078,7907.3
11996,557679,7907.29
11996,586980,7907.29
11996,616300,7907.32
11996,645097,7907.32
11996,674511,7907.32
11996,703968,7907.38
11996,733305,7907.38
11996,762708,7907.42
11996,792156,7907.42
11996,821222,7907.3
11996,850693,7907.3
11996,880256,7907.3
11996,909650,7907.09
11996,939115,7907.09
11996,13705,7907.38
11996,43151,7907.38
11996,72466,7907.11
11996,101627,7907.11
11996,130975,7907.11
11996,160418,7907.12
11996,163580,7907.12
11996,163768,7907.41
11996,163914,7907.41
11996,164045,7906.38
11996,164211,7906.38
11996,164381,7906.38
11996,164538,7906.38
11996,164704,7906.38
11996,164873,7906.38
11996,165031,7906.38
11996,165197,7906.38
11996,165379,7906.38
11996,165520,7906.38
11996,165688,7906.38
11996,165844,7906.38
11996,165991,7906.38
11996,166183,7906.38
11996,166347,7906.38
11996,166509,7906.38
11996,166674,7906.38
11996,166833,7906.38
11996,167001,7906.38
11996,167208,7906.38
11996,167392,7906.38
11996,167512,7906.38
11996,167689,7906.38
11996,167863,7906.38
11996,168019,7906.38
11996,169198,7906.38
11996,184492,7906.38
11996,210423,7909.47
11996,237651,7909.47
11996,266099,7906.63
11996,294757,7906.63
11996,323830,7906.63
11996,335719,7907.78
11996,335885,7907.78
11996,338136,7906.38
11996,357989,7906.38
11996,387025,7909.38
11996,415540,7909.38
11996,444634,7906.57
11996,474071,7906.57
11996,503251,7906.57
11996,532302,7907.75
11996,561963,7907.75
11996,591560,7907.36
11996,621111,7907.36
11996,650540,7907.28
11996,679894,7907.28
11996,708982,7907.28
11996,738109,7907.14
11996,767185,7907.14
11996,796746,7907.56
11996,825909,7907.56
11996,854659,7907.17
11996,883666,7907.17
11996,912690,7907.34
11996,941800,7907.34
11996,5220,7907.34
11996,34780,7907.23
11996,64238,7907.23
11996,93500,7907.27
11996,122833,7907.27
11996,152282,7907.47
11996,181355,7907.47
11996,210771,7907.47
11996,239900,7907.5
11996,269096,7907.5
11996,298573,7907.46
11996,327924,7907.46
11996,357469,7907.37
11996,386552,7907.37
11996,415270,7907.34
11996,444120,7907.34
11996,473320,7907.34
11996,502764,7907.21
11996,532458,7907.21
11996,562321,7907.26
11996,591689,7907.26
11996,621433,7907.38
11996,650990,7907.38
11996,680424,7907.15
11996,710433,7907.15
11996,739951,7907.15
11996,769555,7907.22
11996,799472,7907.22
11996,829032,7907.21
11996,858360,7907.21
11996,887697,7907.4
11996,916906,7907.4
11996,946270,7907.41
11996,16644,7907.41
11996,46561,7907.41
11996,76142,7907.2
11996,105445,7907.2
11996,134785,7907.32
11996,163899,7907.32
11996,193113,7907.32
11996,222212,7907.6
11996,251611,7907.6
11996,280836,7907.21
11996,310520,7907.21
11996,340091,7907.52
11996,369653,7907.52
11996,398648,7907.23
11996,427730,7907.23
11996,456689,7907.23
11996,485727,7907.5
11996,515232,7907.5
11996,544485,7907.22
11996,574076,7907.22
11996,603761,7907.47
11996,633469,7907.47
11996,663174,7907.28
11996,692336,7907.28
11996,721656,7907.28
11996,751060,7907.31
11996,780709,7907.31
11996,810498,7907.34
11996,840054,7907.34
11996,869694,7907.45
11996,899071,7907.45
11996,928476,7907.34
11996,958182,7907.34
11996,29504,7907.34
11996,29772,7907.17
11996,29944,7907.17
11996,30096,7906.38
11996,30196,7906.38
11996,30384,7906.38
11996,30574,7906.38
11996,30725,7906.38
11996,30914,7906.38
11996,31045,7906.38
11996,31210,7906.38
11996,31386,7906.38
11996,31545,7906.38
11996,31700,7906.38
11996,31863,7906.38
11996,32034,7906.38
11996,32198,7906.38
11996,32377,7906.38
11996,32505,7906.38
11996,32685,7906.38
11996,32829,7906.38
11996,33007,7906.38
11996,36182,7906.38
11996,56211,7906.38
11996,83053,7906.38
11996,111064,7906.38
11996,139431,7906.79
11996,168301,7906.79
11996,197197,7908.02
11996,226329,7908.02
11996,255707,7907.53
11996,285108,7907.53
11996,314468,7907.4
11996,344042,7907.4
11996,373614,7907.4
11996,403164,7907.34
11996,429811,7907.34
11996,429933,7907.22
11996,430096,7907.22
11996,432563,7906.38
11996,453081,7906.38
11996,481969,7906.38
11997,66401,7906.65
11997,95833,7907.55
11997,125308,7907.55
11997,154910,7907.55
11997,184436,7907.59
11997,213589,7907.59
11997,243035,7907.25
11997,272704,7907.25
11997,302553,7907.49
11997,332166,7907.49
11997,361889,7907.47
11997,391545,7907.47
11997,421114,7907.47
11997,450388,7907.21
11997,479783,7907.21
11997,508806,7907.24
11997,538219,7907.24
11997,567617,7907.08
11997,597325,7907.08
11997,627076,7907.08
11997,656727,7907.48
11997,685949,7907.48
11997,715216,7907.36
11997,744677,7907.36
11997,774001,7907.37
11997,803289,7907.37
11997,832350,7907.33
11997,861666,7907.33
11997,891369,7907.33
11997,921327,7907.05
11997,950714,7907.05
11997,28258,7907.35
11997,58136,7907.35
11997,87947,7907.2
11997,117622,7907.2
11997,146906,7907.2
11997,176376,7907.66
11997,205940,7907.66
11997,226430,7907.3
11997,226588,7907.3
11997,226754,7906.38
11997,240929,7906.38
11997,269374,7908.54
11997,26193,7907.29
11997,56231,7907.17
11997,86170,7907.17
11997,116028,7907.64
11997,145395,7907.64
11997,175221,7907.64
11997,204336,7907.3
11997,233964,7907.3
11997,263139,7907.45
11997,292543,7907.45
11997,322010,7907.24
11997,351601,7907.24
11997,381309,7907.24
11997,411002,7907.3
11997,440575,7907.3
11997,470017,7907.47
11997,499684,7907.47
11997,528907,7907.24
11997,558637,7907.24
11997,588499,7907.55
11997,617578,7907.55
11997,646928,7907.55
11997,676573,7907.3
11997,706290,7907.3
11997,735957,7907.19
11997,765160,7907.19
11997,794604,7907.3
11997,823854,7907.3
11997,852878,7907.35
11997,882825,7907.35
11997,912745,7907.35
11997,942179,7907.42
11997,17878,7907.42
11997,47345,7907.34
11997,76899,7907.34
11997,106679,7907.25
11997,136449,7907.25
11997,166096,7907.33
11997,196186,7907.33
11997,226298,7907.33
11997,256343,7907.15
11997,285948,7907.15
11997,315370,7907.27
11997,344788,7907.27
11997,373973,7907.56
11997,375477,7907.56
11997,375477,7907.4
11997,375477,7907.4
11997,375477,7907.29
11997,375477,7907.29
11997,375477,7907.29
11997,375477,7907.1
11997,375477,7907.1
11998,69070,7907.43
11998,98566,7907.43
11998,127958,7906.92
11998,157027,7906.92
11998,186800,7907.44
11998,216539,7907.44
11998,246536,7907.13
11998,276245,7907.13
11998,292164,7907.31
11998,292364,7907.31
11998,292465,7907.31
11998,298858,7906.38
11998,324592,7906.38
11998,353262,7910.3
11998,382104,7910.3
11998,411869,7905.86
11998,441433,7905.86
11998,471016,7907.7
11998,500454,7907.7
11998,529867,7907.7
11998,559311,7907.25
11998,588872,7907.25
11998,618691,7907.64
11998,648280,7907.64
11998,678425,7907.38
11998,708290,7907.38
11998,738078,7907.79
11998,740805,7907.79
11998,740895,7907.79
11998,741106,7906.38
11998,754457,7906.38
11998,782124,7906.38
11998,810680,7906.38
11998,839361,7905.2
11998,869025,7905.2
11998,899129,7907.83
11998,928685,7907.83
11998,957995,7907.83
11998,28284,7907.4
11998,57637,7907.4
11998,87697,7906.96
11998,117449,7906.96
11998,147285,7907.4
11998,176853,7907.4
11998,206020,7907.33
11998,235091,7907.33
11998,264422,7907.33
11998,294381,7907.41
11998,324337,7907.41
11998,353882,7907.43
11998,383275,7907.43
11998,412882,7907.28
11998,442312,7907.28
11998,472163,7907.26
11998,488906,7907.26
11998,489098,7907.26
11998,489256,7907.63
11998,503774,7907.63
11998,532063,7907.63
11998,561235,7907.63
11998,590513,7907.63
11998,620091,7907.63
11998,649679,7907.63
11998,679121,7907.63
11998,707922,7907.41
11998,737370,7907.41
11998,766526,7907.41
11998,796272,7907.25
11998,826025,7907.25
11998,855328,7907.39
11998,885044,7907.39
11998,914384,7907.4
11998,944145,7907.4
11998,12485,7907.11
11998,42109,7907.11
11998,71415,7907.11
11998,100513,7907.4
11998,130134,7907.4
11998,159807,7907.41
11998,189491,7907.41
11998,218954,7907.27
11998,248509,7907.27
11998,278209,7907.37
11998,307645,7907.37
11998,337351,7907.37
11998,367041,7907.11
11998,396867,7907.11
11998,410372,7907.21
11998,410530,7907.21
11998,411222,7906.38
11998,427689,7906.38
11998,455969,7910.72
11998,469681,7910.72
11998,469841,7910.72
11998,469963,7906.38
11998,475080,7906.38
11998,500049,7906.38
11998,519104,7906.38
11998,519265,7905.16
11998,519432,7905.16
11998,519602,7905.16
