runnum,evnum,HALLA_p
13450,67164,5964.64
13450,92389,5964.64
13450,117945,5964.57
13450,143217,5964.57
13450,168926,5964.66
13450,194295,5964.66
13450,220001,5964.66
13450,245352,5964.57
13450,271020,5964.57
13450,296719,5964.65
13450,322438,5964.65
13450,347503,5964.68
13450,372974,5964.68
13450,398404,5964.68
13450,424033,5964.68
13450,449527,5964.68
13450,474848,5964.58
13450,500441,5964.58
13450,525730,5964.64
13450,551400,5964.64
13450,577000,5964.58
13450,602208,5964.58
13450,628071,5964.66
13450,653565,5964.66
13450,679152,5964.66
13450,704767,5964.54
13450,730586,5964.54
13450,756036,5964.63
13450,781434,5964.63
13450,807147,5964.62
13450,832765,5964.62
13450,858203,5964.6
13450,883716,5964.6
13450,909404,5964.6
13450,935027,5964.58
13450,960876,5964.58
13450,986594,5964.57
13450,1012183,5964.57
13450,1037793,5964.58
13450,1063698,5964.58
13450,1089289,5964.63
13450,1114722,5964.63
13450,1140560,5964.63
13450,1166329,5964.62
13450,1191513,5964.62
13450,1217161,5964.65
13450,1242737,5964.65
13450,1268126,5964.59
13450,1293509,5964.59
13450,1319009,5964.59
13450,1345093,5964.64
13450,1370875,5964.64
13450,1396715,5964.58
13450,1422449,5964.58
13450,1447911,5964.63
13450,1473526,5964.63
13450,1499318,5964.59
13450,1525226,5964.59
13450,1551023,5964.59
13450,1577197,5964.7
13450,1603673,5964.7
13450,1630185,5964.63
13450,1656545,5964.63
13450,1682773,5964.59
13450,1709277,5964.59
13450,1735553,5964.68
13450,1761973,5964.68
13450,1788642,5964.68
13450,1808972,5964.67
13450,1809140,5964.67
13450,1809298,5964.6
13450,1809461,5964.6
13450,1809619,5965.54
13450,1809762,5965.54
13450,1809937,5965.54
13450,1810105,5965.54
13450,1810697,5965.54
13450,1833576,5965.54
13450,1858657,5965.54
13450,1883774,5964.72
13450,1909354,5964.72
13450,1934796,5964.59
13450,1960299,5964.59
13450,1986147,5964.54
13450,2011940,5964.54
13450,2037756,5964.54
13450,2063602,5964.66
13450,2089797,5964.66
13450,2115838,5964.6
13450,2142303,5964.6
13450,2168057,5964.64
13450,2194128,5964.64
13450,2219392,5964.6
13450,2244570,5964.6
13450,2269824,5964.6
13450,2295538,5964.58
13450,2321015,5964.58
13450,2346230,5964.69
13450,2371607,5964.69
13450,2396962,5964.64
13450,2422397,5964.64
13450,2447880,5964.66
13450,2472926,5964.66
13450,2498431,5964.66
13450,2524259,5964.66
13450,2549864,5964.66
13450,2575592,5964.6
13450,2601365,5964.6
13450,2623988,5964.57
13450,2624062,5964.57
13451,84726,5964.73
13451,110823,5964.68
13451,110970,5964.68
13451,111116,5965.54
13451,111302,5965.54
13451,111403,5965.54
13451,111559,5965.54
13451,111724,5965.54
13451,111870,5965.54
13451,112049,5965.54
13451,112211,5965.54
13451,136861,5965.54
13451,166482,5964.93
13451,196737,5964.93
13451,227456,5964.93
13451,258345,5964.75
13451,289261,5964.75
13451,319911,5964.64
13451,350984,5964.64
13451,381573,5964.61
13451,412650,5964.61
13451,443408,5964.65
13451,474728,5964.65
13451,506088,5964.65
13451,537113,5964.7
13451,568420,5964.7
13451,599736,5964.66
13451,630925,5964.66
13451,661904,5964.61
13451,693262,5964.61
13451,724753,5964.61
13451,756044,5964.69
13451,787391,5964.69
13451,818821,5964.65
13451,850275,5964.65
13451,881672,5964.67
13451,913314,5964.67
13451,944685,5964.71
13451,975866,5964.71
13451,1007106,5964.71
13451,1038310,5964.66
13451,1069829,5964.66
13451,1100683,5964.72
13451,1131902,5964.72
13451,1163328,5964.67
13451,1194778,5964.67
13451,1226380,5964.73
13451,1258014,5964.73
13451,1289023,5964.73
13451,1320174,5964.64
13451,1351191,5964.64
13451,1378575,5964.63
13451,1378613,5964.63
13452,70022,5964.61
13452,94947,5964.61
13452,119537,5964.68
13452,144488,5964.68
13452,169180,5964.68
13452,194037,5964.58
13452,218790,5964.58
13452,243657,5964.67
13452,268390,5964.67
13452,293398,5964.61
13452,318466,5964.61
13452,343137,5964.67
13452,368304,5964.67
13452,393370,5964.67
13452,418165,5964.61
13452,443101,5964.61
13452,468220,5964.72
13452,493136,5964.72
13452,518185,5964.72
13452,542860,5964.72
13452,567652,5964.66
13452,592552,5964.66
13452,617576,5964.66
13452,642300,5964.57
13452,666891,5964.57
13452,691703,5964.59
13452,703433,5964.59
13452,703581,5964.57
13452,703726,5964.57
13452,703899,5964.57
13452,704059,5965.54
13452,704223,5965.54
13452,705191,5965.54
13452,727217,5965.54
13452,751040,5965.54
13452,775095,5965.54
